CANONICAL_SMILES,INCHIKEY,pChEMBL mean,pChEMBL std,Molecule Name,Compound Key,appears_in_N_ChEMBL_assays
N#CC(C(=N)Sc1ccccc1N)C(C#N)C(=N)Sc1ccccc1N,ZCHZSBUNJOCWCW-UHFFFAOYSA-N,6.0,0.547722557505166,U-0126,SID11113946,6
COC(=O)c1c(-c2cc(OC)c(OC)c(OC)c2)c2ccnc(OCc3ncccn3)c2c(=O)n1Cc1ccnc(C)c1,JEMJAABFSYOLAP-UHFFFAOYSA-N,5.1000000000000005,0.3286335345030999,,SID11111926,6
O[C@@](CCN1CCCCC1)(c1ccccc1)C1CCCCC1,HWHLPVGTWGOCJO-FQEVSTJZSA-N,5.3,0.4381780460041329,,SID11111863,6
Cn1ccc2cc3c(cc21)CCN3C(=O)Nc1cccnc1,QJQORSLQNXDVGE-UHFFFAOYSA-N,5.0,0.10954451150103284,,SID11111766,6
COC(=O)C/C=C\[C@@H](C)[C@@H](/C=N\O[C@@H](C)c1cn([C@H](CO)Cc2ccccc2)nn1)NS(=O)(=O)c1ccc(C)cc1,ZBXQOJIKFLISLL-LEMIPYGQSA-N,5.550000000000001,0.1643167672515498,,SID26750974,6
O=S(=O)(c1cccc2c(Cl)cccc12)N1CCCNCC1,OZSMSRIUUDGTEP-UHFFFAOYSA-N,5.3500000000000005,0.05477225575051702,,SID11113497,6
CC(C)N(CCC(=O)c1ccc2ccccc2c1)Cc1ccccc1,JSASWRWALCMOQP-UHFFFAOYSA-N,5.05,0.7120393247567159,,SID11111983,6
CC[C@@]12CCCN3CCc4c(n(c5ccccc45)C(=O)C1)[C@H]32,WYJAPUKIYAZSEM-RBUKOAKNSA-N,5.3,0.10954451150103348,,SID4254197,6
O=C1C[C@@H](O)[C@@H](O)[C@H]2c3c(c(O)n(Cc4ccc5c(c4)OCO5)c3O)CCC12,QXCOZNRZGCDDED-GAKFPUJSSA-N,5.400000000000001,0.0,,SID26751407,6
CCOC(=O)C1=C[C@@]2(CC)CCCN3CCc4c(n1c1ccccc41)[C@H]32,DDNCQMVWWZOMLN-RBBKRZOGSA-N,5.3,0.3286335345030994,,SID11112768,6
C/C(CCC(=O)OC[C@@H]1O[C@H](C#Cc2ccccc2)C=C[C@@H]1Oc1ccc(C)cc1)=N/O[C@@H](C)c1cn([C@H](CO)Cc2ccccc2)nn1,RSWHELHAJBZDQA-QIFBICTRSA-N,5.45,0.05477225575051642,,SID26750899,6
C[C@@H]1CNCCN1S(=O)(=O)c1cccc2cnccc12,BDVFVCGFMNCYPV-LLVKDONJSA-N,5.3,0.10954451150103348,,SID11113554,6
CO[C@H]1COC(=O)C(C)COC(=O)C(Cc2ccccc2)NC(=O)C/C=C\[C@H]1C,FHTCENNRXVNTTJ-MCRZXJKSSA-N,5.2,0.0,,SID26750816,6
O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,DKGZKTPJOSAWFA-UHFFFAOYSA-N,5.0,0.4381780460041333,SPIPERONE,SID11112441,6
CO[C@H]1COC(=O)C/C=C\[C@H](C)[C@@H](NS(=O)(=O)c2ccc(C)cc2)COC(=O)C/C=C\[C@@H]1C,PYXLMBZKGJVRMV-WCXQWMLDSA-N,5.5,0.0,,SID26750835,6
C/C(CCN1CCc2nc(-c3ccccc3)c(-c3ccccc3)cc2C1)=N\O[C@@H](C)c1cn([C@H](CO)Cc2ccccc2)nn1,MSDMSQHOLOYMKR-QMRLHJCVSA-N,5.45,0.054772255750516356,,SID26751065,6
C/C(CCN1CCCCc2nc(C)c(C)cc21)=N\O[C@@H](C)c1cn([C@H](CO)Cc2ccccc2)nn1,OQRFYDOAQDEDPP-RROQMOBYSA-N,5.3500000000000005,0.05477225575051706,,SID26750928,6
c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3s2)c1,KUBONGDXTUOOLM-UHFFFAOYSA-N,5.15,0.273861278752583,ZOLANTIDINE,SID11111808,6
Clc1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1,CJXAEXPPLWQRFR-UHFFFAOYSA-N,5.2,0.0,CLEMIZOLE,SID11110952,6
COc1ccc([C@H]2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,HSUGRBWQSSZJOP-BPGUCPLFSA-N,5.3,0.10954451150103334,,SID11111056,6
CO[C@H]1COC(=O)C/C=C\[C@H](C)[C@@H](OC)COC(=O)C(C)COC(=O)C/C=C\[C@@H]1C,KBHPPKYRDDJVFM-CBPSCPCISA-N,5.3500000000000005,0.05477225575051703,,SID26750789,6
COC(=O)C/C=C\[C@@H](C)[C@@H](/C=N\O[C@@H](C)c1cn([C@H](CO)Cc2ccccc2)nn1)OC,KPYSXVDPYCPICV-PMXMSFGQSA-N,5.45,0.05477225575051642,,SID26751081,6
COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC,RUZYUOTYCVRMRZ-UHFFFAOYSA-N,5.1000000000000005,0.21908902300206629,,SID11112025,6
COc1ccc(C(=O)NCc2cccnc2)cc1C(=O)NCc1cccnc1,KYWCWBXGRWWINE-UHFFFAOYSA-N,5.5,0.0,PICOTAMIDE,SID11111675,6
CO[C@@H]1COC(=O)C/C=C\[C@H](C)[C@@H](NS(=O)(=O)c2ccc(C)cc2)COC(=O)C/C=C\[C@@H]1C,PYXLMBZKGJVRMV-BDNXLJGCSA-N,5.45,0.054772255750516356,,SID26750759,6
